Education,Marital Status,Target
Bachelors,Never-married,<=50K
Bachelors,Married-civ-spouse,<=50K
HS-grad,Divorced,<=50K
11th,Married-civ-spouse,<=50K
Bachelors,Married-civ-spouse,<=50K
Masters,Married-civ-spouse,<=50K
9th,Married-spouse-absent,<=50K
HS-grad,Married-civ-spouse,>50K
Masters,Never-married,>50K
Bachelors,Married-civ-spouse,>50K
Some-college,Married-civ-spouse,>50K
Bachelors,Married-civ-spouse,>50K
Bachelors,Never-married,<=50K
Assoc-acdm,Never-married,<=50K
Assoc-voc,Married-civ-spouse,>50K
7th-8th,Married-civ-spouse,<=50K
HS-grad,Never-married,<=50K
HS-grad,Never-married,<=50K
11th,Married-civ-spouse,<=50K
Masters,Divorced,>50K
Doctorate,Married-civ-spouse,>50K
HS-grad,Separated,<=50K
9th,Married-civ-spouse,<=50K
11th,Married-civ-spouse,<=50K
HS-grad,Divorced,<=50K
Bachelors,Married-civ-spouse,>50K
HS-grad,Never-married,<=50K
Some-college,Married-civ-spouse,>50K
HS-grad,Divorced,<=50K
HS-grad,Married-civ-spouse,<=50K
Assoc-acdm,Never-married,<=50K
Some-college,Never-married,<=50K
Bachelors,Divorced,<=50K
Some-college,Married-civ-spouse,<=50K
Some-college,Married-civ-spouse,<=50K
11th,Never-married,<=50K
Some-college,Never-married,<=50K
HS-grad,Married-AF-spouse,<=50K
Some-college,Married-civ-spouse,>50K
Assoc-acdm,Married-civ-spouse,<=50K
9th,Married-civ-spouse,<=50K
Bachelors,Married-civ-spouse,<=50K
Bachelors,Married-civ-spouse,<=50K
HS-grad,Separated,<=50K
HS-grad,Never-married,<=50K
Bachelors,Married-civ-spouse,>50K
HS-grad,Married-civ-spouse,<=50K
Masters,Divorced,<=50K
Assoc-voc,Married-civ-spouse,<=50K
Assoc-voc,Never-married,<=50K
Some-college,Married-civ-spouse,<=50K
HS-grad,Never-married,<=50K
Prof-school,Married-civ-spouse,>50K
Bachelors,Divorced,>50K
HS-grad,Divorced,<=50K
Some-college,Married-civ-spouse,>50K
5th-6th,Married-civ-spouse,<=50K
Assoc-voc,Married-civ-spouse,<=50K
HS-grad,Married-civ-spouse,<=50K
HS-grad,Married-civ-spouse,<=50K
Bachelors,Married-civ-spouse,<=50K
7th-8th,Married-spouse-absent,<=50K
HS-grad,Married-civ-spouse,<=50K
Doctorate,Married-civ-spouse,>50K
Some-college,Divorced,<=50K
HS-grad,Married-civ-spouse,<=50K
Some-college,Divorced,<=50K
HS-grad,Married-civ-spouse,>50K
Some-college,Married-civ-spouse,>50K
Some-college,Never-married,<=50K
Some-college,Never-married,<=50K
Bachelors,Separated,<=50K
Bachelors,Married-civ-spouse,>50K
Some-college,Never-married,<=50K
Some-college,Married-civ-spouse,<=50K
HS-grad,Never-married,<=50K
Assoc-acdm,Married-civ-spouse,<=50K
10th,Married-civ-spouse,<=50K
11th,Never-married,<=50K
7th-8th,Married-civ-spouse,<=50K
HS-grad,Never-married,<=50K
Bachelors,Married-civ-spouse,<=50K
HS-grad,Married-civ-spouse,<=50K
HS-grad,Married-civ-spouse,<=50K
HS-grad,Divorced,>50K
HS-grad,Divorced,<=50K
HS-grad,Married-civ-spouse,>50K
Masters,Married-civ-spouse,<=50K
9th,Never-married,<=50K
Doctorate,Never-married,>50K
Assoc-voc,Married-civ-spouse,<=50K
Some-college,Divorced,<=50K
Some-college,Divorced,<=50K
HS-grad,Married-civ-spouse,<=50K
Bachelors,Married-civ-spouse,>50K
Some-college,Never-married,<=50K
Doctorate,Married-civ-spouse,>50K
Some-college,Married-civ-spouse,>50K
Assoc-acdm,Divorced,<=50K
HS-grad,Never-married,<=50K
